=================================  ==============================================================================================================================================================================================================================================================================================================================================================
*posgen* ``restricted``            0.0.1(default)
*posminus* ``restricted``          0.2.3(default)
pplacer                            v1.1.alpha19
prank                              170427
prismatic                          1.1
prismatic-cpu                      1.1
prodigal                           2.6.3
proj                               4.9.3, 5.1.0
prokka                             1.13.3
protobuf                           master, master-gcc4
psi4                               v1.1
pv                                 1.6.6
py4dstem                           0.3
pycharm                            2018.3.3
pydeface                           1.1.0
pyem                               v0.1, v0.1-201806, v0.3
pymol                              1.8.2.1, 1.8.6, 2.4.0a0
pyprismatic                        1.1.16
pypy                               7.0.0-3.6
pysam                              0.15.2-python2
python                             2.7.11-gcc, 2.7.12-gcc4(default), 2.7.12-gcc5, 2.7.15-gcc5, 3.5.2-gcc, 3.5.2-gcc4, 3.5.2-gcc5, 3.6.2, 3.6.2-static, 3.6.6-gcc5, 3.7.2-gcc6, 3.7.3-system
pytorch                            1.0-cuda10, 1.1-cuda10
pyxnat                             20170308
**Q**                              .. _Q:
qatools                            1.2
qctools                            v2.0-beta
qhull                              2003.1, 2015.2
qiaseq-dna                         1.0
qiime1                             1.9.1
qiime2                             2017.9, 2018.11, 2018.2, 2018.4, 2019.1, 2019.4
qt                                 5.7.1-gcc5
qt5-qtwebkit                       5.9.1
quicktree                          2.0, 2.5
quit                               1.1, 2.0.2
R                                  3.3.1, 3.4.3, 3.5.0, 3.5.1, 3.5.2-openblas, 3.5.3-mkl, 3.6.0-mkl
**R**                              .. _R:
r-launcher                         0.0.1(default)
racon                              1.3.1
raxml                              8.2.12, 8.2.9
razers3                            3.5.8
*rdf-kd* ``restricted``            0.0.1(default)
rdkit                              2019.03.3.0
relion                             1.4, 2.02, 2.0.6, 2.0beta, 2.1(default), 2.1.b1, 2.1.b2, 2.1-openmpi-1.10.7-mlx, 3.0-20181109-cuda80, 3.0-20181109-cuda91, 3.0-20190115, 3.0.5, 3.0.5-uow, 3.0.6, 3.0.6-uow, 3.0.7, 3.0.7-uow, 3.0-beta, 3.0-stable, 3.0-stable-cuda91, 3.0-stable-uow, 3.0-uow-20180904, 3.0-uow-20180917, 3.0-uow-20181109-cuda80, 3.0-uow-20181109-cuda91, 3.0-uow-20190115
resmap                             1.1.4, 1.1.5, 1.9.5
rest                               1.8, 1.8-matlab2017a.r6685
rings                              1.3.3
rnammer                            1.2
roary                              3.11.2(default), 3.12.0
robex                              1.2
root                               5.34.32
*rosetta* ``restricted``           2018.09
rsem                               1.3.0
rstudio                            1.0.143, 1.0.44, 1.1.414, 1.1.463, 1.1.463-r3.5.3-mkl, 1.1.463-r3.6.0-mkl
rstudioserver_epigenetics          1.0, 1.0-20171101
rsync                              3.1.3
**S**                              .. _S:
salome                             9.2.0
samclip                            0.2
samtools                           0.1.18, 1.3.1, 1.6, 1.7, 1.7-gcc5, 1.9, 1.9-gcc5
sas                                9.4
sbt                                0.13.15, 1.2.1
scalapack                          2.0.2
scipion                            2.0, devel, devel-20170327, v1.0.1_2016-06-30, v1.1, v1.1.1, v1.2, v1.2.1, v1.2.1_2018-10-01
